pr_url,merge,manual_check
https://github.com/spring-projects/spring-framework/pull/731,1,1
https://github.com/spring-projects/spring-framework/pull/1474,1,1
https://github.com/spring-projects/spring-framework/pull/1240,1,1
https://github.com/spring-projects/spring-framework/pull/63,1,0
https://github.com/spring-projects/spring-framework/pull/1420,1,1
https://github.com/spring-projects/spring-framework/pull/1662,1,1
https://github.com/spring-projects/spring-framework/pull/85,1,1
https://github.com/spring-projects/spring-framework/pull/1300,1,1
https://github.com/spring-projects/spring-framework/pull/179,1,1
https://github.com/spring-projects/spring-framework/pull/859,1,1
https://github.com/spring-projects/spring-framework/pull/1164,1,1
https://github.com/spring-projects/spring-framework/pull/1235,1,1
https://github.com/spring-projects/spring-framework/pull/835,1,1
https://github.com/spring-projects/spring-framework/pull/1277,1,0
https://github.com/spring-projects/spring-framework/pull/92,1,1
https://github.com/django/django/pull/7966,1,1
https://github.com/django/django/pull/3000,1,1
https://github.com/django/django/pull/1433,1,1
https://github.com/django/django/pull/6148,1,1
https://github.com/django/django/pull/6806,1,1
https://github.com/django/django/pull/5763,1,1
https://github.com/django/django/pull/6397,1,1
https://github.com/django/django/pull/7452,1,1
https://github.com/django/django/pull/1663,1,1
https://github.com/django/django/pull/12595,1,1
https://github.com/django/django/pull/2153,1,1
https://github.com/django/django/pull/6810,1,1
https://github.com/django/django/pull/2730,1,1
https://github.com/django/django/pull/6436,1,1
https://github.com/django/django/pull/6161,1,1
https://github.com/django/django/pull/2086,1,1
https://github.com/django/django/pull/4561,1,1
https://github.com/django/django/pull/1822,1,1
https://github.com/django/django/pull/4374,1,1
https://github.com/django/django/pull/2057,1,1
https://github.com/spring-projects/spring-boot/pull/659,1,1
https://github.com/spring-projects/spring-boot/pull/4088,1,0
https://github.com/spring-projects/spring-boot/pull/7269,1,1
https://github.com/spring-projects/spring-boot/pull/1274,1,1
https://github.com/spring-projects/spring-boot/pull/1031,1,1
https://github.com/spring-projects/spring-boot/pull/4476,1,1
https://github.com/spring-projects/spring-boot/pull/729,1,1
https://github.com/spring-projects/spring-boot/pull/35,1,0
https://github.com/spring-projects/spring-boot/pull/623,1,1
https://github.com/spring-projects/spring-boot/pull/4626,1,1
https://github.com/spring-projects/spring-boot/pull/20297,1,1
https://github.com/spring-projects/spring-boot/pull/717,1,1
https://github.com/spring-projects/spring-boot/pull/2700,1,1
https://github.com/spring-projects/spring-boot/pull/2796,1,1
https://github.com/spring-projects/spring-boot/pull/967,1,1
https://github.com/spring-projects/spring-boot/pull/1661,1,1
https://github.com/spring-projects/spring-boot/pull/12472,1,1
https://github.com/spring-projects/spring-boot/pull/566,1,1
https://github.com/spring-projects/spring-boot/pull/9032,1,1
https://github.com/spring-projects/spring-boot/pull/4195,1,1
https://github.com/neovim/neovim/pull/2227,1,0
https://github.com/neovim/neovim/pull/3204,1,0
https://github.com/neovim/neovim/pull/6992,1,1
https://github.com/neovim/neovim/pull/504,1,0
https://github.com/neovim/neovim/pull/8474,1,0
https://github.com/neovim/neovim/pull/3768,1,0
https://github.com/neovim/neovim/pull/954,1,1
https://github.com/neovim/neovim/pull/7948,1,1
https://github.com/neovim/neovim/pull/9115,1,1
https://github.com/neovim/neovim/pull/8516,1,1
https://github.com/neovim/neovim/pull/14679,1,1
https://github.com/neovim/neovim/pull/4517,1,1
https://github.com/neovim/neovim/pull/580,1,1
https://github.com/neovim/neovim/pull/6073,1,1
https://github.com/neovim/neovim/pull/9279,1,1
https://github.com/neovim/neovim/pull/13130,1,0
https://github.com/neovim/neovim/pull/10148,1,1
https://github.com/neovim/neovim/pull/7969,1,1
https://github.com/neovim/neovim/pull/2609,1,0
https://github.com/neovim/neovim/pull/4671,1,1
https://github.com/godotengine/godot/pull/15174,1,1
https://github.com/godotengine/godot/pull/20658,1,1
https://github.com/godotengine/godot/pull/19552,1,1
https://github.com/godotengine/godot/pull/5871,1,1
https://github.com/godotengine/godot/pull/32793,1,1
https://github.com/godotengine/godot/pull/43916,1,1
https://github.com/godotengine/godot/pull/11897,1,1
https://github.com/godotengine/godot/pull/41266,1,0
https://github.com/godotengine/godot/pull/46239,1,1
https://github.com/godotengine/godot/pull/11983,1,1
https://github.com/godotengine/godot/pull/1555,1,0
https://github.com/godotengine/godot/pull/12292,1,1
https://github.com/godotengine/godot/pull/21439,1,1
https://github.com/godotengine/godot/pull/8198,1,1
https://github.com/godotengine/godot/pull/10036,1,0
https://github.com/godotengine/godot/pull/11907,1,1
https://github.com/godotengine/godot/pull/8554,1,1
https://github.com/godotengine/godot/pull/24811,1,1
https://github.com/godotengine/godot/pull/24343,1,1
https://github.com/godotengine/godot/pull/7543,1,0
https://github.com/angular/angular/pull/3036,1,1
https://github.com/angular/angular/pull/7498,1,1
https://github.com/angular/angular/pull/12633,1,1
https://github.com/angular/angular/pull/1110,1,1
https://github.com/angular/angular/pull/24241,1,1
https://github.com/angular/angular/pull/34235,1,1
https://github.com/angular/angular/pull/13805,1,1
https://github.com/angular/angular/pull/2288,1,1
https://github.com/angular/angular/pull/1578,1,1
https://github.com/angular/angular/pull/8699,1,1
https://github.com/angular/angular/pull/4451,1,1
https://github.com/angular/angular/pull/8601,1,1
https://github.com/angular/angular/pull/8430,1,1
https://github.com/angular/angular/pull/27802,1,0
https://github.com/angular/angular/pull/13803,1,1
https://github.com/angular/angular/pull/1725,1,1
https://github.com/angular/angular/pull/24347,1,1
https://github.com/angular/angular/pull/109,1,1
https://github.com/angular/angular/pull/11599,1,1
https://github.com/angular/angular/pull/11515,1,1
https://github.com/moby/moby/pull/27014,1,0
https://github.com/moby/moby/pull/30071,1,0
https://github.com/moby/moby/pull/34511,1,1
https://github.com/moby/moby/pull/35415,1,0
https://github.com/moby/moby/pull/15322,1,0
https://github.com/moby/moby/pull/40087,1,0
https://github.com/moby/moby/pull/35269,1,0
